page_id	baseline_chars	visual_status	quality_class	needs_close_transcription	text_source	review_pdf
chunk_006:p0001	1111	text_present	usable	false	baseline_ocr_retained	chunk_006__p0001-0040.pdf
chunk_006:p0002	1108	text_present	usable	false	baseline_ocr_retained	chunk_006__p0001-0040.pdf
chunk_006:p0003	1047	text_present	usable	false	baseline_ocr_retained	chunk_006__p0001-0040.pdf
chunk_006:p0004	1097	text_present	usable	false	baseline_ocr_retained	chunk_006__p0001-0040.pdf
chunk_006:p0005	1255	text_present	usable	false	baseline_ocr_retained	chunk_006__p0001-0040.pdf
chunk_006:p0006	998	text_present	usable	false	baseline_ocr_retained	chunk_006__p0001-0040.pdf
chunk_006:p0007	1120	text_present	usable	false	baseline_ocr_retained	chunk_006__p0001-0040.pdf
chunk_006:p0008	6276	text_present	high_noise_flagged	true	baseline_ocr_retained	chunk_006__p0001-0040.pdf
chunk_006:p0009	1286	text_present	usable	false	baseline_ocr_retained	chunk_006__p0001-0040.pdf
chunk_006:p0010	1185	text_present	usable	false	baseline_ocr_retained	chunk_006__p0001-0040.pdf
chunk_006:p0011	1100	text_present	usable	false	baseline_ocr_retained	chunk_006__p0001-0040.pdf
chunk_006:p0012	1184	text_present	usable	false	baseline_ocr_retained	chunk_006__p0001-0040.pdf
chunk_006:p0013	1151	text_present	usable	false	baseline_ocr_retained	chunk_006__p0001-0040.pdf
chunk_006:p0014	1201	text_present	usable	false	baseline_ocr_retained	chunk_006__p0001-0040.pdf
chunk_006:p0015	1098	text_present	usable	false	baseline_ocr_retained	chunk_006__p0001-0040.pdf
chunk_006:p0016	1050	text_present	usable	false	baseline_ocr_retained	chunk_006__p0001-0040.pdf
chunk_006:p0017	1239	text_present	usable	false	baseline_ocr_retained	chunk_006__p0001-0040.pdf
chunk_006:p0018	1146	text_present	usable	false	baseline_ocr_retained	chunk_006__p0001-0040.pdf
chunk_006:p0019	1034	text_present	usable	false	baseline_ocr_retained	chunk_006__p0001-0040.pdf
chunk_006:p0020	1043	text_present	usable	false	baseline_ocr_retained	chunk_006__p0001-0040.pdf
chunk_006:p0021	1391	text_present	usable	false	baseline_ocr_retained	chunk_006__p0001-0040.pdf
chunk_006:p0022	1153	text_present	usable	false	baseline_ocr_retained	chunk_006__p0001-0040.pdf
chunk_006:p0023	1063	text_present	usable	false	baseline_ocr_retained	chunk_006__p0001-0040.pdf
chunk_006:p0024	1115	text_present	usable	false	baseline_ocr_retained	chunk_006__p0001-0040.pdf
chunk_006:p0025	811	text_present	usable	false	baseline_ocr_retained	chunk_006__p0001-0040.pdf
chunk_006:p0026	0	blank_confirmed	blank	false	blank	chunk_006__p0001-0040.pdf
chunk_006:p0027	46	text_present	verified_short_text	false	baseline_ocr_retained	chunk_006__p0001-0040.pdf
chunk_006:p0028	1191	text_present	usable	false	baseline_ocr_retained	chunk_006__p0001-0040.pdf
