global_page,page_id,chunk_id,page_in_chunk,chars,nonempty,quality_flags,inventory_refs,dates_1920_1935,years_1920_1935,entities_exact,fuzzy_candidates,project_terms,doc_signals,review_tier,review_reasons,layer_warning,manual_note
14180,chunk_067:p0071,067,71,4513,True,,,,,Malinowski,,anthropology;primitive,,C,research_signal;manual_review,False,"Malinowski in printed Homo Ludens/Kula discussion, not correspondence."
14181,chunk_067:p0072,067,72,4329,True,,,,1925;1927;1932,Malinowski,,anthropology,,C,core_person_project_terms_1931_1933;manual_review,False,Malinowski in printed Homo Ludens/Kula bibliography/discussion; 1932 is bibliographic.
14182,chunk_067:p0073,067,73,3129,True,html_scaffolding_removed,,,1922;1923;1924;1925;1926;1927;1928;1932;1935,,,social_science,,C,research_signal,False,
14241,chunk_067:p0132,067,132,4460,True,,,,1932,,,musicology;primitive,,C,research_signal,False,
14242,chunk_067:p0133,067,133,4688,True,,,,1925;1927,,,musicology;primitive,,C,research_signal,False,
14243,chunk_067:p0134,067,134,2043,True,,,,1924;1927,,,social_science,,C,research_signal,False,
14249,chunk_067:p0140,067,140,1025,True,html_scaffolding_removed,,,,Huizinga,,social_sciences_holland;social_science,,A,direct_social_sciences_holland_label;manual_review,False,Exact label 'FOR THE SOCIAL SCIENCES IN HOLLAND — DR. J. HUIZINGA'; image review required.
14250,chunk_067:p0141,067,141,3149,True,,,,1928,,,social_science,,C,research_signal,False,
14259,chunk_067:p0150,067,150,2932,True,,,"22 October 2022;31 Dec 1986",1920,Rockefeller,,,,C,research_signal,False,
14286,chunk_067:p0177,067,177,428,True,html_scaffolding_removed,,12 Mei 1936,,Huizinga,,,,C,research_signal,False,
14333,chunk_068:p0001,068,1,229,True,,HUI-071-2-29-000,,,Huizinga,,,archive_header,B,archive_unit_boundary,False,
14363,chunk_068:p0031,068,31,1152,True,html_scaffolding_removed,,,1933,Laura Spelman Rockefeller Memorial;Rockefeller,,rockefeller_memorial,rockefeller_letterhead_or_text,B,rockefeller_letterhead_with_1932_1933;possible_letterhead_reuse_or_ocr_layering,True,
14368,chunk_068:p0036,068,36,994,True,html_scaffolding_removed,,,1935,Laura Spelman Rockefeller Memorial;Rockefeller,,rockefeller_memorial,rockefeller_letterhead_or_text,C,research_signal,False,
14373,chunk_068:p0041,068,41,1162,True,,,,1924;1932,Laura Spelman Rockefeller Memorial;Rockefeller,,rockefeller_memorial,rockefeller_letterhead_or_text,B,rockefeller_letterhead_with_1932_1933;possible_letterhead_reuse_or_ocr_layering,True,
14384,chunk_068:p0052,068,52,226,True,,HUI-071-2-31-000,,,Huizinga,,,archive_header,A,archive_unit_boundary;manual_review,False,Archive boundary: HUI-071-2-31-000.
14385,chunk_068:p0053,068,53,60,True,,,,,,,,,A,manual_review,False,Unit title: 'Klank die wegsterft' (HUI-071-2-31-000).
